0 |1 |2 |3 |4 |5 |6 |7 |8 |9 |10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33
15|16|16|16|16|16|16|16|16|16|16|16|16|17|16|0 |0 |16|16|16|16|16|16|16|16|16|16|16|16|16|16|16|16|16
16|0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |15|0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 
17|15|15|15|15|15|15|15|15|15|15|15|15|15|15|16|15|0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 
18|9 |9 |9 |9 |9 |9 |9 |9 |14|9 |9 |31|14|13|16|0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 
19|2 |21|16|6 |2 |25|10|25|7 |6 |26|29|24|18|16|0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 
20|22|22|16|25|27|12|11|11|34|33|26|33|24|18|16|0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 
21|5 |5 |16|6 |6 |32|5 |7 |5 |7 |6 |30|24|18|16|0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 
22|26|26|16|25|27|25|8 |11|34|33|26|34|12|18|16|0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 
23|12|10|16|25|12|25|10|25|7 |4 |6 |32|12|18|16|0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 
24|29|31|31|30|31|30|30|29|30|35|33|32|15|18|16|0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 
25|10|5 |16|6 |26|4 |10|6 |4 |4 |4 |35|24|18|16|0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 
26|5 |5 |16|6 |27|25|10|33|10|22|22|33|24|18|16|0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 
27|5 |5 |16|25|26|25|10|30|5 |22|26|33|24|18|16|0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 
28|4 |10|16|25|27|25|10|29|4 |6 |27|32|24|18|16|0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 
29|6 |6 |24|6 |6 |25|10|6 |7 |8 |8 |24|8 |18|16|0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 
30|10|10|24|10|7 |25|10|6 |7 |35|22|24|4 |18|16|0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 
31|5 |5 |24|7 |16|25|10|6 |7 |2 |27|24|3 |18|16|0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 
32|4 |4 |24|6 |12|4 |10|6 |4 |4 |6 |24|12|18|16|0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 
33|26|27|24|11|34|11|22|11|2 |22|27|24|11|18|16|0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 |0 
